unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Gobierno,Ministerio de Gobierno,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/gobierno,BIANCO,Carlos Alberto,Masculino,Decreto 7 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/7b/403247,11/12/2023
SUBSECRETARÍA DE COORDINACIÓN Y CONTROL DE LA GESTIÓN,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/jefatura,WYDLER,Agustín,Masculino,Decreto 120/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/120/414308,01/01/2024
Subsecretaría de Gobierno Digital,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/jefatura,D?AGOSTINO,Sandra Noemí,Femenino,Decreto 115/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/115/414282,15/01/2024
SUBSECRETARÍA DE RELACIONES INTERNACIONALES E INTERJURISDICCIONALES,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,PADIN,Juan Manuel,Masculino,Decreto 119/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/119/414287,01/01/2024
Agencia Administradora Estadio Ciudad de La Plata (Diego Armando Maradona),Ministerio de Gobierno,Ministerio de Gobierno,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,VIGLIANO,Paulo ,Masculino,Resolución 199/2025 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2025/199/513672,21/04/2025
Subsecretaría de Asuntos Electorales y Parlamentarios ,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,REHL GOMEZ,Javier Heriberto,Masculino,Decreto 425/2022,https://normas.gba.gob.ar/documentos/Be43edFj.pdf,01/03/2022
SUBSECRETARÍA DE ASUNTOS TERRITORIALES,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,ROBLA,Agustín,Masculino,Decreto 110/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/110/414012,01/01/2024
Subsecretaría de Asuntos Municipales,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,REVORA,Santiago Eduardo,Masculino,Decreto 460/2020,https://normas.gba.gob.ar/documentos/BE3AXpfn.pdf,15/05/2020
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Gobierno,Ministerio de Gobierno,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,PEREZ ARAUJO,María Cecilia,Femenino,Decreto 43 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/43b/406440,14/12/2023
Subsecretaría de Análisis y Monitoreo de Datos e Información Estratégica,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 4/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/4/408221,,https://www.gba.gob.ar/gobierno,"_,_","_,_",Femenino,,,
SUBSECRETARÍA DE ASUNTOS POLÍTICOS,Ministerio de Gobierno,Ministerio de Gobierno,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,VERA,Pablo Oscar,Masculino,Decreto 321/2022,https://normas.gba.gob.ar/documentos/BM4b9mIa.pdf,01/01/2022
